algorithm,path_length,nodes_explored,compute_time,replan_count,predictive_replans,evade_count,found_treasure,wall_density,num_guards,repetition
DFS,362,19151,0.053897899109870195,138,138,85,False,0.25,6,25
DFS,411,19406,0.0460962001234293,89,89,64,False,0.25,6,26
DFS,94,3150,0.008555899607017636,13,13,3,True,0.25,6,27
DFS,137,2018,0.005801300285384059,27,27,45,True,0.25,6,28
DFS,390,25040,0.06416950048878789,110,110,41,False,0.25,6,29
DFS,53,72,0.00015620002523064613,0,0,0,True,0.35,0,0
DFS,51,69,0.00014490005560219288,0,0,0,True,0.35,0,1
DFS,51,82,0.00017160014249384403,0,0,0,True,0.35,0,2
DFS,55,60,0.0001300000585615635,0,0,0,True,0.35,0,3
DFS,67,159,0.0003347999881953001,0,0,0,True,0.35,0,4
DFS,57,142,0.0002987000625580549,0,0,0,True,0.35,0,5
DFS,73,107,0.00022859987802803516,0,0,0,True,0.35,0,6
DFS,37,54,0.00011399993672966957,0,0,0,True,0.35,0,7
DFS,65,73,0.0001575998030602932,0,0,0,True,0.35,0,8
DFS,59,64,0.00014219991862773895,0,0,0,True,0.35,0,9
DFS,63,83,0.00017959997057914734,0,0,0,True,0.35,0,10
DFS,77,125,0.0002638001460582018,0,0,0,True,0.35,0,11
DFS,53,105,0.0002155001275241375,0,0,0,True,0.35,0,12
DFS,43,124,0.0002538999542593956,0,0,0,True,0.35,0,13
DFS,55,90,0.00019410019740462303,0,0,0,True,0.35,0,14
DFS,59,90,0.00019180006347596645,0,0,0,True,0.35,0,15
DFS,73,83,0.00031530018895864487,0,0,0,True,0.35,0,16
DFS,69,127,0.0004795999266207218,0,0,0,True,0.35,0,17
DFS,47,66,0.00024880003184080124,0,0,0,True,0.35,0,18
DFS,47,144,0.0005157999694347382,0,0,0,True,0.35,0,19
DFS,65,68,0.00026110000908374786,0,0,0,True,0.35,0,20
DFS,39,44,9.709992446005344e-05,0,0,0,True,0.35,0,21
DFS,37,111,0.00022279983386397362,0,0,0,True,0.35,0,22
DFS,79,155,0.00031979987397789955,0,0,0,True,0.35,0,23
DFS,51,66,0.00013979990035295486,0,0,0,True,0.35,0,24
DFS,53,100,0.0002117999829351902,0,0,0,True,0.35,0,25
DFS,57,102,0.00021440000273287296,0,0,0,True,0.35,0,26
DFS,61,85,0.00018289987929165363,0,0,0,True,0.35,0,27
DFS,53,84,0.00017400016076862812,0,0,0,True,0.35,0,28
DFS,43,53,0.0002117000985890627,0,0,0,True,0.35,0,29
DFS,48,220,0.0005226999055594206,2,2,1,True,0.35,2,0
DFS,81,1199,0.0029064996633678675,8,8,10,True,0.35,2,1
DFS,73,93,0.00021319999359548092,0,0,0,True,0.35,2,2
DFS,343,8784,0.019783901516348124,32,32,20,True,0.35,2,3
DFS,47,242,0.000543499831110239,1,1,0,True,0.35,2,4
DFS,47,319,0.000718400115147233,2,2,0,True,0.35,2,5
DFS,59,305,0.0006981999613344669,3,3,0,True,0.35,2,6
DFS,44,279,0.0006354001816362143,3,3,1,True,0.35,2,7
DFS,61,992,0.0021828999742865562,5,5,0,True,0.35,2,8
DFS,77,606,0.0014254993293434381,4,4,1,True,0.35,2,9
DFS,392,26578,0.061908598290756345,93,93,45,True,0.35,2,10
DFS,76,269,0.0011921001132577658,2,2,1,True,0.35,2,11
DFS,121,5086,0.012583199655637145,44,44,19,True,0.35,2,12
DFS,71,2212,0.004934498341754079,14,14,4,True,0.35,2,13
DFS,73,310,0.0007311999797821045,3,3,0,True,0.35,2,14
DFS,71,266,0.0005977998953312635,1,1,0,True,0.35,2,15
DFS,117,3795,0.008598401211202145,24,24,4,True,0.35,2,16
DFS,81,387,0.0008888000156730413,3,3,0,True,0.35,2,17
DFS,65,664,0.001525200204923749,5,5,0,True,0.35,2,18
DFS,390,16376,0.049338598968461156,110,110,30,False,0.35,2,19
DFS,137,2153,0.005130399949848652,11,11,13,True,0.35,2,20
DFS,62,367,0.0008690000977367163,5,5,5,True,0.35,2,21
DFS,82,1729,0.004278500331565738,12,12,8,True,0.35,2,22
DFS,55,121,0.0002963002771139145,1,1,0,True,0.35,2,23
DFS,63,73,0.0001721000298857689,0,0,0,True,0.35,2,24
DFS,103,2951,0.009650400606915355,12,12,8,True,0.35,2,25
DFS,83,409,0.0009602000936865807,2,2,0,True,0.35,2,26
DFS,421,10020,0.03288790094666183,77,77,33,False,0.35,2,27
DFS,167,4519,0.014079000102356076,13,13,5,True,0.35,2,28
DFS,109,1801,0.007114199921488762,17,17,12,True,0.35,2,29
DFS,35,256,0.000960000092163682,1,1,0,True,0.35,4,0
DFS,182,3469,0.010168400825932622,39,39,37,True,0.35,4,1
DFS,124,3808,0.011283898493275046,37,37,11,True,0.35,4,2
DFS,381,7531,0.01888820040039718,53,53,8,True,0.35,4,3
